StartDate,EndDate,Progress,Durationinseconds,ID,Consent,Consent_check,Consent_NY_2ndchance,Country,Country_5_TEXT,Relationship,Relationship_list,Relationship_list_12_TEXT,Gender,Gender_list,Gender_list_38_TEXT,Gender_assigned,Sex_identity,Sex_identity_7_TEXT,Sex_Attraction,Sex_Attraction_7_TEXT,Sex_Experiences,Sex_Experiences_7_TEXT,SES_ladder,Skin_colour_choice,Weight_metric,Weight_kilograms_1,Weight_Pounds_1,Weight_StonesPounds_1,Weight_StonesPounds_2,Body_dissat_M_1,Body_dissat_M_2,Body_dissat_M_3,Body_dissat_M_4,Body_dissat_M_5,Body_dissat_M_6,Body_dissat_M_7_r,Body_dissat_BF_1,Body_dissat_BF_2,Body_dissat_BF_3,Body_dissat_BF_4,Body_dissat_BF_5,QoL_1_Psych_C1,QoL_2_Psych_R4,QoL_5_Psych_MH_7,QoL_7_Psych_SW3,QoL_8_Psych_MH8,QoL_9_Psych_R6,QoL_10_Psych_R1,QoL_12_Psych_MH2,QoL_14_Psych_MH3,QoL_13_Psych_SW2,QoL_16_Psych_MH4,QoL_17_Psych_H2,QoL_18_Psych_MH6,QoL_4_Psych_R7,QoL_20_Psych_H3,QoL_21_Psych_C3,QoL_23_Psych_R1,QoL_25_Psych_H4,QoL_26_Psych_SW1,QoL_27_Psych_H1,QoL_29_Psych_C2,QoL_31_Psych_R3,QoL_33_Psych_MH1,QoL_34_R5,QoL_35_MH5,EDS_bodyweight_1,EDS_bodyweight_2,EDS_bodyweight_3,EDS_bodyweight_4,EDS_bodyweight_5,EDS_bodyweight_6,EDS_bodyweight_7,EDS_bodyweight_8,EDS_bodyweight_9,WBISM_1_r,WBISM_2,WBISM_3,WBISM_4,WBISM_5,WBISM_6,WBISM_7,WBISM_8,WBISM_9_r,WBISM_10,WBISM_11,WeightBias_1,WeightBias_2,WeightBias_3,WeightBias_4,WeightBias_5,WeightBias_6,WeightBias_7_r,WeightBias_8,WeightBias_9_r,WeightBias_10_r,WeightBias_11_r,WeightBias_12_r,WeightBias_13_r,WeightBias_14,WeightBias_15_r,WeightBias_16_r,WeightBias_17_r,WeightBias_18_r,WeightBias_19_r,WeightBias_20_r,SBQR_4,Likelihood,Weight_kilograms_1_New,Weight_Pounds_1_New,Weight_StonesPounds_1_New,Weight_StonesPounds_2_New
8/15/2020 0:00:00,8/15/2020 0:00:00,100,513,870c6d90a191102850acb63016365cbf,1,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,3,NA,1,NA,1,NA,2,2,2, ,185, , ,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,5,4,2,4,4,4,4,4,4,4,2,4,4,3,4,4,5,4,4,5,4,4,4,4,2,4,4,4,4,3,3,1,7,7,7,7,7,7,7,1,7,7,6,6,6,6,6,6,2,6,2,2,3,3,4,4,4,3,2,2,2,2,6,2, ,274, , 
8/15/2020 0:00:00,8/15/2020 0:00:00,100,906,8b874796c965f9ef005c12fbe988a429,1,NA,NA,4,NA,1,NA,NA,1,NA,NA,NA,3,NA,2,NA,2,NA,6,1,2, ,61, , ,3,1,3,3,4,4,3,2,1,2,1,1,2,4,4,2,2,1,4,4,4,4,3,4,4,2,3,4,3,3,3,4,3,4,6,4,4,2,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,6,1,1,2,2,3,2,4,1,3,5,3,2,3,3,5,2,6,1,1,1,1,1,5,2, ,150, , 
8/15/2020 0:00:00,8/15/2020 0:00:00,100,733,f545554fd77259fcab93adf75a7c3703,1,NA,NA,4,NA,1,NA,NA,1,NA,NA,NA,6,NA,2,NA,2,NA,7,1,2, ,66, , ,5,4,5,4,5,5,1,3,2,2,2,1,4,5,4,3,4,3,3,5,4,3,2,4,4,3,4,3,2,4,4,4,3,4,5,4,3,1,1,1,1,1,1,4,2,2,6,5,5,6,6,4,3,2,3,6,5,4,3,6,4,7,4,4,4,4,4,4,4,4,3,5,4,4,4,4,3,5,1, ,155, , 
8/15/2020 0:00:00,8/15/2020 0:00:00,100,637,7fe7d172a5b09901b76bc6fc57603484,1,NA,NA,3,NA,1,NA,NA,1,NA,NA,NA,3,NA,1,NA,2,NA,2,1,3, , ,239,11,1,1,2,1,1,1,4,5,5,5,5,5,3,4,3,2,2,2,4,4,4,2,2,5,3,1,4,2,4,4,4,5,3,5,4,4,2,1,2,1,1,2,2,1,2,1,3,7,5,7,7,7,7,4,2,7,7,4,4,4,4,4,4,4,4,4,4,7,4,7,1,4,4,4,4,4,4,7,1, , ,23,10
8/15/2020 0:00:00,8/15/2020 0:00:00,100,938,e795ff48cc272c0c9ee007c451938aa5,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,2,NA,3,NA,3,NA,8,4,1,44, , , ,3,2,4,1,3,5,1,5,5,5,5,5,2,3,3,2,2,1,2,3,3,3,1,2,3,1,2,1,1,2,2,2,4,4,3,2,3,1,1,1,1,2,1,2,1,1,5,5,2,7,5,7,7,7,1,7,7,3,5,7,7,7,7,3,7,1,1,5,4,6,5,2,4,5,4,4,2,2,1,83, , , 
8/15/2020 0:00:00,8/15/2020 0:00:00,100,410,8944981690818d535b70ec8ed7f64d78,1,NA,NA,4,NA,1,NA,NA,1,NA,NA,NA,2,NA,3,NA,2,NA,9,5,2, ,75, , ,4,4,5,3,3,5,2,4,4,2,2,3,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,4,3,4,2,1,1,1,1,1,1,1,1,1,7,5,5,5,2,1,2,2,6,1,2,4,4,4,3,4,3,4,4,4,4,3,3,3,3,4,1,1,1,1,1,1,1, ,164, , 
8/15/2020 0:00:00,8/15/2020 0:00:00,100,1456,93cfbe46abaa51cf0ae84b9dce5616cb,1,NA,NA,1,NA,1,NA,NA,2,2,NA,1,3,NA,1,NA,1,NA,7,2,1,28, , , ,1,1,2,1,1,1,5,3,3,5,3,3,5,5,3,4,3,1,4,4,4,4,2,4,3,1,4,2,4,5,1,5,2,5,5,5,3,1,2,1,2,1,1,4,2,1,6,2,5,2,2,1,2,1,7,7,1,5,3,7,6,6,2,6,2,3,6,7,7,7,1,7,2,2,1,1,2,3,1,67, , , 
8/15/2020 0:00:00,8/15/2020 0:00:00,100,781,3ec5ba5f0963b466d729ec210f7e245a,1,NA,NA,1,NA,1,NA,NA,2,8,NA,1,3,NA,1,NA,1,NA,1,2,1,14, , , ,2,3,2,2,1,2,3,3,3,4,1,3,4,4,4,4,4,4,3,3,4,3,3,4,4,4,3,5,3,3,5,5,3,4,5,5,4,2,3,3,3,2,3,4,3,2,3,3,5,2,3,2,5,2,6,2,2,3,3,3,2,3,1,3,3,3,3,5,6,7,1,7,3,5,1,1,1,7,2,53, , , 
8/15/2020 0:00:00,8/15/2020 0:00:00,100,865,f05ae3b797f20f9f4c460a1c7b5ec4e8,1,NA,NA,1,NA,2,7,NA,1,NA,NA,NA,3,NA,2,NA,4,NA,10,2,1,61, , , ,4,4,4,1,4,4,3,4,3,1,1,2,2,1,3,2,3,1,2,4,3,3,2,2,3,1,2,2,2,2,1,2,2,3,3,2,4,1,1,1,1,3,1,1,1,1,7,1,1,2,2,1,2,1,6,1,1,1,3,3,3,6,3,4,6,2,2,7,6,7,1,7,5,7,5,5,4,2,1,100, , , 
8/15/2020 0:00:00,8/15/2020 0:00:00,100,1388,bdf6ca3f04f166af22e50b63edd17c02,1,NA,NA,4,NA,2,"0,6",NA,1,NA,NA,NA,3,NA,2,NA,2,NA,6,2,2, ,99, , ,4,4,4,4,4,4,2,5,5,4,4,4,2,4,3,3,3,2,4,4,4,3,3,3,3,2,3,3,3,3,3,4,3,4,3,3,2,3,4,3,4,4,3,3,3,2,3,5,6,6,5,5,5,5,3,4,4,6,6,6,3,6,6,2,5,2,4,3,5,6,3,6,4,3,2,2,2,6,1, ,188, , 
